ftsW	10	99172	C->T	NSYN	770	257	P->L			E_1	0	0	0	0	0	0	NA	0.446601941747573	0.8375	0.836734693877551	0.636363636363636	212	72	119	42	30	120	NA	103	80	98	121
ydhU	129	1749771	G->A	NSYN	578	193	P->L			E_1	0	0	0	0	0	0	NA	0.541666666666667	0.821428571428571	0.90625	0.610687022900763	325	122	119	78	57	130	NA	144	140	160	131
rpoD	335	3214660	A->G	SYN	1614	538	E->E			E_4	0.0258064516129032	0.123809523809524	0.087719298245614	0.0636363636363636	0.218390804597701	0.134020618556701	0.144578313253012	0.0659340659340659	0.103448275862069	0.0471698113207547	0.0143884892086331	155	105	57	110	87	97	83	91	58	106	139
	428	3815879	indel;T+C		NA	NA				E_1	0	0	0	0	0	0	NA	0.401785714285714	0.0806451612903226	0.0444444444444444	0.253521126760563	153	48	91	48	30	98	NA	112	62	90	71
trkH	457	4033217	G->A	NSYN	73	25	G->R			E_6	0	0.300699300699301	0.0707964601769911	0.324074074074074	0.0263157894736842	0.0116959064327485	0	0	0	0	0	210	143	113	108	114	171	96	125	133	22	127
rpoC	482	4186605	A->C	NSYN	1256	419	H->P			E_1	0	0	0	0	0.13953488372093	0.330578512396694	NA	0	0	0	0	234	106	132	74	43	121	NA	117	124	114	126
rpoC	482	4186605	A->C	NSYN	1256	419	H->P			S_2	0	0	0	0.138297872340426	0.304347826086957	0.101851851851852	0	0	0	0	0	226	116	117	94	161	108	147	151	122	169	132
rpoC	482	4186605	A->C	NSYN	1256	419	H->P			V_3	0	0	0.0479041916167665	0.461538461538462	0.356435643564356	0.6875	0	0.281879194630872	0.150442477876106	0.102564102564103	0.0416666666666667	206	144	167	65	101	80	155	149	113	117	96
fimD	569	4545073	G->T	NCOD	NA	NA		fimD	fimI	E_1	0.0040650406504065	0	0.01	0.619047619047619	0.536585365853659	0.264150943396226	NA	0.954545454545455	0.978494623655914	0.964285714285714	0.95049504950495	246	75	100	63	41	106	NA	132	93	112	101
fimD	569	4545073	G->T	NCOD	NA	NA		fimD	fimI	S_5	0	0	0	0.0526315789473684	0.576086956521739	0.67515923566879	0.994565217391304	0.973684210526316	0.982954545454545	0.970873786407767	0.981707317073171	201	155	162	114	184	157	184	152	176	103	164
fimD	569	4545073	G->T	NCOD	NA	NA		fimD	fimI	Y_2	0	0	0.00595238095238095	0.467532467532468	0.177570093457944	0.223684210526316	0.292682926829268	0.392156862745098	0.325757575757576	0.357954545454545	0.181208053691275	177	104	168	77	107	76	164	153	132	176	149
fimD	569	4545073	G->T	NCOD	NA	NA		fimD	fimI	V_6	0.00492610837438424	0	0	0	0.125	0.385416666666667	0.784615384615385	0.786764705882353	1	0.964646464646465	0.966666666666667	203	127	165	84	112	96	65	136	35	198	60
