MG1655,	301,	indel;C+T;C-2;C-1,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 1 2 3 4 2 0 3 0 4 6,	124 58 137 84 115 84 88 148 123 101 85,	upstream;downstream gene1_thrA;gene0_thrL
MG1655,	550,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 0 2 2 1 3 0 0 0 0 1,	84 44 92 52 82 58 64 103 78 70 70,	nonsynonymous SNV gene1_thrA:gene1_thrA:exon1:c.G214T:p.A72S, MG1655
MG1655,	552,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 0 1 1 0 3 0 1 0 0 0,	80 43 92 49 85 59 63 106 77 69 71,	synonymous SNV gene1_thrA:gene1_thrA:exon1:c.C216T:p.A72A, MG1655
MG1655,	553,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 1 2 1 0 2 0 0 0 0 0,	77 46 91 46 81 57 64 103 77 69 70,	stopgain gene1_thrA:gene1_thrA:exon1:c.G217T:p.E73X, MG1655
MG1655,	554,	A->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 0 1 1 1 2 0 0 0 0 1,	82 45 91 44 83 58 63 101 74 66 69,	nonsynonymous SNV gene1_thrA:gene1_thrA:exon1:c.A218T:p.E73V, MG1655
MG1655,	10321,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 0 1 5 3 1 0 0 0 1,	116 61 101 65 96 92 89 108 143 92 117,	stopgain gene9_satP:gene9_satP:exon1:c.C174A:p.Y58X, MG1655
MG1655,	14068,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 0 4 0 2 1 1 5 0 0 3,	121 74 151 87 121 105 94 157 133 100 123,	nonsynonymous SNV gene12_dnaK:gene12_dnaK:exon1:c.G1906A:p.D636N, MG1655
MG1655,	14070,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 0 5 0 4 2 2 7 4 0 4,	123 76 154 92 121 111 97 157 129 101 122,	nonsynonymous SNV gene12_dnaK:gene12_dnaK:exon1:c.C1908A:p.D636E, MG1655
MG1655,	22531,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 7 3 3 4 4 1 2 4 5 3,	147 115 183 117 151 147 139 187 205 165 143,	synonymous SNV gene25_ileS:gene25_ileS:exon1:c.C141A:p.G47G, MG1655
MG1655,	32985,	G->C,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 0 0 0 0 4 2 0 1 0,	88 56 94 51 64 64 67 118 85 78 80,	synonymous SNV gene32_carB:gene32_carB:exon1:c.G2169C:p.R723R, MG1655
MG1655,	34111,	indel;G-1;G+T;G+TT,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 6 10 4 8 6 11 14 9 8 6,	231 157 237 229 246 199 180 250 260 203 219,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34121,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	14 13 18 27 20 14 16 23 19 15 23,	211 139 229 214 217 172 165 230 218 186 205,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34122,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 7 8 17 12 9 7 10 9 5 10,	205 141 227 217 207 168 165 227 214 173 199,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34123,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	6 5 6 11 9 9 7 11 10 3 6,	205 135 224 207 213 172 166 232 212 170 190,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	36180,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 2 4 1 6 4 4 7 4 6 3,	150 94 148 107 170 137 129 179 177 128 134,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	36189,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 1 2 1 5 2 3 4 2 6 2,	127 84 140 102 162 135 120 165 159 119 122,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	72399,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 4 1 2 1 1 2 2 1 2 2,	126 71 159 89 113 82 95 134 128 102 118,	nonsynonymous SNV gene64_thiQ:gene64_thiQ:exon1:c.C529A:p.Q177K, MG1655
MG1655,	107544,	indel;G+TT;G+T;G-1,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	6 3 10 2 0 2 3 8 4 4 5,	131 88 151 108 149 109 100 174 154 127 107,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	107554,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 2 7 4 4 4 4 4 4 4 4,	117 77 139 92 139 97 100 157 142 107 104,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	132764,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 0 0 2 0 4 0 1 0 2 1,	97 44 89 60 61 62 57 108 75 88 84,	nonsynonymous SNV gene115_acnB:gene115_acnB:exon1:c.C1150A:p.L384M, MG1655
MG1655,	132770,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 0 1 4 1 2 1 3 1 3 3,	101 39 89 62 55 59 52 115 81 90 92,	nonsynonymous SNV gene115_acnB:gene115_acnB:exon1:c.C1156A:p.Q386K, MG1655
MG1655,	144964,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 4 4 1 2 4 0 3 3 2 0,	126 80 155 77 124 98 95 133 115 105 99,	nonsynonymous SNV gene126_yadI:gene126_yadI:exon1:c.C388A:p.Q130K, MG1655
MG1655,	157833,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 4 1 0 2 1 0 1 0 0 0,	77 65 109 73 97 75 64 105 113 97 86,	nonsynonymous SNV gene140_pcnB:gene140_pcnB:exon1:c.C1294A:p.P432T, MG1655
MG1655,	167712,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 1 1 0 3 4 0 3 2 2,	129 60 123 83 120 103 71 124 134 102 96,	nonsynonymous SNV gene147_fhuA:gene147_fhuA:exon1:c.C229A:p.Q77K, MG1655
MG1655,	184207,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 4 1 0 4 4 0 0 1 1 1,	115 76 115 80 122 92 77 87 119 101 90,	upstream;downstream gene160_yaeH;gene159_cdaR,gene161_yaeI,gene162_dapD
