MG1655,	301,	indel;C+T;C-1,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 2 1 1 5 0 2 4 0 0,	119 66 98 51 36 100 0 121 69 75 74,	upstream;downstream gene1_thrA;gene0_thrL
MG1655,	483,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 2 2 0 0 0 0 1 0 0,	116 39 69 37 30 78 0 100 49 65 56,	synonymous SNV gene1_thrA:gene1_thrA:exon1:c.G147A:p.A49A, MG1655
MG1655,	490,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 2 2 0 0 0 1 0 0 1,	115 36 66 38 27 75 0 98 49 67 59,	nonsynonymous SNV gene1_thrA:gene1_thrA:exon1:c.G154A:p.E52K, MG1655
MG1655,	550,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 1 2 0 1 0 2 0 0 2,	142 40 55 37 21 65 0 91 53 40 53,	nonsynonymous SNV gene1_thrA:gene1_thrA:exon1:c.G214T:p.A72S, MG1655
MG1655,	553,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 0 2 0 0 0 0 0 1 2,	138 40 56 40 18 63 0 88 52 44 49,	stopgain gene1_thrA:gene1_thrA:exon1:c.G217T:p.E73X, MG1655
MG1655,	6495,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 3 2 1 1 1 0 2 1 5 0,	205 59 95 63 24 127 1 116 81 104 88,	upstream;downstream gene5_yaaA;gene4_yaaX,gene6_yaaJ
MG1655,	11362,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 4 0 0 3 0 3 0 2 3,	171 57 80 32 31 92 1 130 91 88 63,	upstream;downstream gene10_yaaW,gene12_dnaK,gene9_satP;gene11_yaaI
MG1655,	11364,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 3 0 1 4 0 4 0 1 4,	171 59 78 31 34 91 1 122 92 87 65,	upstream;downstream gene10_yaaW,gene12_dnaK,gene9_satP;gene11_yaaI
MG1655,	11365,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 1 0 0 3 0 2 0 1 4,	173 56 75 30 34 87 1 124 94 86 64,	upstream;downstream gene10_yaaW,gene12_dnaK,gene9_satP;gene11_yaaI
MG1655,	34111,	indel;G-1;G+T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	11 1 5 2 0 6 0 6 3 5 4,	319 96 142 87 65 119 0 145 150 182 194,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34121,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	19 7 11 8 5 12 0 16 16 16 21,	298 85 140 79 54 116 0 140 134 176 183,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34122,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 2 5 4 3 2 0 8 5 7 12,	289 79 138 71 59 106 0 131 132 167 181,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34123,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	6 3 5 3 2 2 0 2 5 5 9,	280 75 137 75 50 106 0 124 142 165 174,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	36180,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 2 2 1 0 1 0 6 8 5 3,	260 69 115 61 38 138 0 158 91 92 124,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	36187,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 2 2 0 0 3 0 4 2 5 1,	239 70 107 59 42 132 0 151 77 85 118,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	36189,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 2 0 2 0 3 0 2 5 4 0,	227 67 109 57 40 135 0 143 85 81 117,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	45781,	T->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 1 1 2 0 0 0 0 3 1,	181 63 75 61 38 103 1 113 88 105 77,	upstream;downstream gene44_yaaU;gene42_fixC,gene43_fixX
MG1655,	45782,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 1 2 0 2 0 0 0 3 3 3,	181 62 76 58 37 100 1 120 97 101 77,	upstream;downstream gene44_yaaU;gene42_fixC,gene43_fixX
MG1655,	45784,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 0 1 0 2 0 0 1 4 2 1,	183 64 74 55 40 99 1 120 95 101 73,	upstream;downstream gene44_yaaU;gene42_fixC,gene43_fixX
MG1655,	45789,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 0 1 1 2 0 0 1 2 4 1,	178 60 73 54 34 94 1 111 85 104 71,	upstream;downstream gene44_yaaU;gene42_fixC,gene43_fixX
MG1655,	50142,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 0 0 2 0 0 0 0 0 0,	154 55 80 41 34 108 0 98 79 84 86,	nonsynonymous SNV gene47_folA:gene47_folA:exon1:c.C320A:p.A107E, MG1655
MG1655,	50144,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 0 1 1 2 2 0 0 0 0 0,	151 53 79 45 34 106 0 99 76 78 85,	nonsynonymous SNV gene47_folA:gene47_folA:exon1:c.C322A:p.Q108K, MG1655
MG1655,	53873,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 0 2 0 0 2 0 0 0,	143 61 57 40 26 95 1 89 68 67 64,	nonsynonymous SNV gene52_surA:gene52_surA:exon1:c.G830A:p.S277N, MG1655
MG1655,	99172,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 0 0 0 0 46 67 82 77,	212 72 119 42 30 120 1 103 80 98 121,	nonsynonymous SNV gene88_ftsW:gene88_ftsW:exon1:c.C770T:p.P257L, MG1655
MG1655,	107544,	indel;G-1;G+T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 0 1 2 2 1 0 1 6 0 7,	216 62 72 67 28 99 0 140 104 94 92,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	107554,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 2 4 2 2 3 0 6 4 3 4,	204 54 73 64 25 92 0 130 100 88 84,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	112571,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 0 0 2 2 0 0 0 1 0,	186 77 79 53 26 135 1 97 79 78 71,	nonsynonymous SNV gene100_zapD:gene100_zapD:exon1:c.C29A:p.P10Q, MG1655
MG1655,	117612,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 2 1 0 3 0 1 1 2 3,	140 52 57 35 14 98 0 87 55 61 55,	upstream;downstream gene104_hofB,gene105_ppdD;gene106_nadC
MG1655,	144964,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 1 0 0 0 0 1 0 5 1,	173 68 91 45 25 106 0 113 71 88 73,	nonsynonymous SNV gene126_yadI:gene126_yadI:exon1:c.C388A:p.Q130K, MG1655
MG1655,	144970,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 1 0 0 1 0 2 0 5 1,	180 70 93 49 30 111 0 118 76 89 75,	nonsynonymous SNV gene126_yadI:gene126_yadI:exon1:c.C394A:p.Q132K, MG1655
MG1655,	162020,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 2 0 2 0 0 1 0 0 0,	192 78 106 53 35 95 2 126 101 117 120,	synonymous SNV gene144_ligT:gene144_ligT:exon1:c.G12A:p.P4P, MG1655
MG1655,	170150,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 0 1 2 0 0 2 0 1 0,	119 50 65 30 21 88 0 84 43 50 46,	nonsynonymous SNV gene148_fhuC:gene148_fhuC:exon1:c.C373A:p.R125S, MG1655
MG1655,	170152,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 1 2 1 0 0 2 0 1 0,	122 56 75 31 21 93 0 85 48 52 47,	synonymous SNV gene148_fhuC:gene148_fhuC:exon1:c.C375A:p.R125R, MG1655
MG1655,	179412,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 4 0 2 0 0 0 0 0,	149 52 88 50 28 91 0 118 75 66 68,	nonsynonymous SNV gene157_dgt:gene157_dgt:exon1:c.G176A:p.R59H, MG1655
MG1655,	180883,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 2 0 2 1 0 0 1 3 0,	168 66 67 54 40 99 1 128 98 77 105,	upstream;downstream gene158_degP;gene157_dgt
MG1655,	184230,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 1 2 2 0 1 1 1 0,	183 60 98 56 35 91 1 120 94 95 83,	upstream;downstream gene160_yaeH;gene159_cdaR,gene161_yaeI,gene162_dapD
MG1655,	184341,	indel;G+C,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 6 2 0 1 2 0 0 0 0 0,	221 80 117 60 32 104 2 143 89 108 100,	frameshift substitution gene161_yaeI:gene161_yaeI:exon1:c.729_729delinsGC, MG1655
MG1655,	215274,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 1 1 0 5 0 2 2 1 2,	181 60 84 59 25 100 0 127 90 91 101,	synonymous SNV gene190_nlpE:gene190_nlpE:exon1:c.G6A:p.V2V, MG1655
MG1655,	215833,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 1 0 1 3 0 0 0 2 2 1,	221 83 104 66 32 136 0 136 85 110 88,	nonsynonymous SNV gene190_nlpE:gene190_nlpE:exon1:c.C565A:p.H189N, MG1655
MG1655,	215835,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 1 2 2 2 0 0 0 3 0 1,	231 89 113 70 32 141 0 139 95 115 98,	nonsynonymous SNV gene190_nlpE:gene190_nlpE:exon1:c.C567A:p.H189Q, MG1655
MG1655,	246054,	A->G,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 2 0 0 2 0 0 0 0 0 0,	257 82 116 68 35 144 1 147 95 142 148,	synonymous SNV gene225_yafQ:gene225_yafQ:exon1:c.T186C:p.A62A, MG1655
MG1655,	282983,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 2 1 2 0 0 0 0 1 1,	177 57 72 50 15 80 0 88 70 79 66,	nonsynonymous SNV gene274_yagE:gene274_yagE:exon1:c.G706A:p.A236T, MG1655
MG1655,	286461,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 0 2 0 0 0 0 0 2,	192 63 90 56 31 99 0 86 62 82 89,	nonsynonymous SNV gene276_yagG:gene276_yagG:exon1:c.G1067A:p.R356H, MG1655
MG1655,	288030,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 6 0 0 0 0 2 2 0 0,	158 51 86 46 29 93 2 96 70 82 84,	stopgain gene277_yagH:gene277_yagH:exon1:c.C1242A:p.Y414X, MG1655
MG1655,	288036,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 2 4 0 0 1 0 1 2 0 1,	137 47 72 38 28 86 1 82 59 77 81,	nonsynonymous SNV gene277_yagH:gene277_yagH:exon1:c.C1248A:p.S416R, MG1655
MG1655,	289779,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 0 0 2 0 0 0 0 0 2,	114 55 70 39 25 77 0 58 57 52 54,	nonsynonymous SNV gene279_argF:gene279_argF:exon1:c.C527T:p.A176V, MG1655
MG1655,	292276,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 4 1 1 0 1 0 0 0 1 1,	194 68 83 73 38 110 3 129 117 104 107,	upstream;downstream gene282_insA;gene283_yagJ,gene284_yagK,gene285_yagL
MG1655,	293519,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 3 3 0 2 0 1 0 3 0,	140 71 103 56 49 92 0 114 109 102 99,	nonsynonymous SNV gene285_yagL:gene285_yagL:exon1:c.C400T:p.L134F, MG1655
MG1655,	293520,	G->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 2 3 0 1 0 1 1 1 0,	140 70 104 53 50 97 1 120 110 101 100,	synonymous SNV gene285_yagL:gene285_yagL:exon1:c.C399T:p.C133C, MG1655
MG1655,	293521,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 1 2 3 0 1 0 1 2 4 2,	144 71 100 51 42 98 1 117 110 96 104,	nonsynonymous SNV gene285_yagL:gene285_yagL:exon1:c.G398T:p.C133F, MG1655
MG1655,	296488,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	264 99 126 79 45 137 1 138 124 127 123,	264 101 127 79 46 137 1 138 124 127 123,	synonymous SNV gene288_intF:gene288_intF:exon1:c.G609A:p.E203E, MG1655
